row_index,Telescope,obs_code,mjd_start,mjd_end,bandwidth,cent_f,low_c_l,high_c_h,rec_time_s,rec_time_m,rec_time_h,rec_time_d
282,stk,r117_59909_218,59909.29393491216,59909.418119038106,98.4375,1381.46484375,1332.24609375,1430.68359375,10729.508481826631,178.8251413637772,2.98041902272962,0.12418412594706749
283,stk,r117_59909_219,59909.41813072938,59909.54365272019,98.4375,1381.46484375,1332.24609375,1430.68359375,10845.10000620503,180.75166677008383,3.012527779501397,0.12552199081255822
284,wb,p11718,59909.516122685185,59910.01366893407,128.0,1271.0,1207.0,1335.0,41179.72057387233,686.3286762312055,11.438811270520091,0.47661713627167046
285,stk,r117_59909_220,59909.543660366064,59909.551110191074,98.4375,1381.46484375,1332.24609375,1430.68359375,643.6648809118196,10.727748015196994,0.17879580025328323,0.007449825010553468
286,stk,r117_59909_221,59909.561006329335,59909.68478720662,98.4375,1381.46484375,1332.24609375,1430.68359375,10694.667797489092,178.24446329148486,2.970741054858081,0.12378087728575338
287,stk,r117_59909_222,59909.68479744157,59909.80915398383,98.4375,1381.46484375,1332.24609375,1430.68359375,10744.405250879936,179.07342084799893,2.9845570141333155,0.12435654225555481
288,tr,f22c13,59909.75702546296,59910.03436340301,256.0,4708.0,4580.0,4836.0,22769.967238325626,379.49945397209376,6.324990899534896,0.26354128748062067
289,stk,r117_59909_223,59909.80916280285,59909.933484999405,98.4375,1381.46484375,1332.24609375,1430.68359375,10741.437782440336,179.02396304067227,2.983732717344538,0.12432219655602242
290,stk,r117_59910_224,59910.28071584452,59910.407675865055,98.4375,1381.46484375,1332.24609375,1430.68359375,10969.345774152316,182.82242956920527,3.047040492820088,0.12696002053417033
291,stk,r117_59910_225,59910.40768646409,59910.416371116815,98.4375,1381.46484375,1332.24609375,1430.68359375,750.353995570913,12.505899926181883,0.2084316654363647,0.008684652726515196
292,wb,p11719,59910.51334490741,59910.84273141407,128.0,1271.0,1207.0,1335.0,26752.862082165666,445.8810347027611,7.431350578379352,0.309639607432473
293,stk,r117_59910_226,59910.528723527044,59910.65291788794,98.4375,1381.46484375,1332.24609375,1430.68359375,10730.392781621777,178.83987969369628,2.9806646615616046,0.12419436089840019
294,stk,r117_59910_227,59910.65762406045,59910.785640950126,98.4375,1381.46484375,1332.24609375,1430.68359375,11060.659268125892,184.34432113543153,3.072405352257192,0.128016889677383
295,stk,r117_59910_228,59910.78565858821,59910.90978797945,98.4375,1381.46484375,1332.24609375,1430.68359375,10724.779403046705,178.74632338411175,2.979105389735196,0.12412939123896649
296,stk,r117_59910_229,59910.909796798485,59911.036250492754,98.4375,1381.46484375,1332.24609375,1430.68359375,10925.599184841849,182.09331974736415,3.034888662456069,0.12645369426900288
297,wb,p11720,59911.51054398147,59912.00818240593,64.0,332.0,300.0,364.0,41195.94136385713,686.5990227309521,11.443317045515869,0.47680487689649453
298,stk,r117_59911_230,59911.52393364309,59911.648802903415,98.4375,1381.46484375,1332.24609375,1430.68359375,10788.704092148691,179.81173486914486,2.996862247819081,0.12486926032579504
299,stk,r117_59911_231,59911.648820501025,59911.77305802669,98.4375,1381.46484375,1332.24609375,1430.68359375,10734.122216608377,178.90203694347295,2.981700615724549,0.12423752565518956
300,tr,f22l15,59911.750092592585,59911.9906249549,128.0,1414.0,1350.0,1478.0,19768.95920871757,329.48265347862616,5.491377557977103,0.22880739824904595
301,stk,r117_59911_232,59911.773081328385,59911.89736472924,98.4375,1381.46484375,1332.24609375,1430.68359375,10738.085833587684,178.9680972264614,2.9828016204410233,0.1242834008517093
302,stk,r117_59911_233,59911.897405992626,59912.014455149525,98.4375,1381.46484375,1332.24609375,1430.68359375,10113.047156087125,168.5507859347854,2.809179765579757,0.11704915689915654
303,stk,r117_59912_234,59912.48959260585,59912.62037406291,98.4375,1381.46484375,1332.24609375,1430.68359375,11299.517890065908,188.32529816776514,3.1387549694627523,0.13078145706094801
304,tr,f22c14,59912.49579861111,59912.70369211338,256.0,4708.0,4580.0,4836.0,17057.972318376414,284.2995386396069,4.7383256439934485,0.19743023516639369
305,wb,p11721,59912.5077662037,59913.005404628144,64.0,332.0,300.0,364.0,41205.11640901677,686.7519401502796,11.445865669171326,0.47691106954880524
306,stk,r117_59912_235,59912.62041532631,59912.744571296054,98.4375,1381.46484375,1332.24609375,1430.68359375,10727.075785305351,178.78459642175585,2.979743273695931,0.12415596973733045
307,stk,r117_59912_236,59912.7445867496,59912.868900369824,98.4375,1381.46484375,1332.24609375,1430.68359375,10740.696787415072,179.01161312358454,2.9835268853930756,0.12431362022471149
308,tr,f22c15,59912.75008101852,59913.027418975595,256.0,4708.0,4580.0,4836.0,22479.980664979666,374.6663444163278,6.244439073605463,0.2601849614002276
309,stk,r117_59912_237,59912.86895615633,59913.00780274862,98.4375,1381.46484375,1332.24609375,1430.68359375,11996.34557417594,199.93909290293234,3.3323182150488724,0.13884659229370303
310,stk,r117_59913_238,59913.4895886488,59913.62419251329,98.4375,1381.46484375,1332.24609375,1430.68359375,11629.77389206644,193.829564867774,3.2304927477962333,0.1346038644915097
311,wb,p11722,59913.505,59914.002648088885,64.0,332.0,300.0,364.0,41194.89279091358,686.5815465152264,11.443025775253773,0.47679274063557386
312,stk,r117_59913_239,59913.624221964026,59913.748761157556,98.4375,1381.46484375,1332.24609375,1430.68359375,10760.186320985667,179.33643868309446,2.988940644718241,0.1245391935299267
313,stk,r117_59913_240,59913.74878737194,59913.87368984527,98.4375,1381.46484375,1332.24609375,1430.68359375,10791.573696001431,179.85956160002385,2.9976593600003976,0.12490247333334989
314,tr,f22c16,59913.77092592593,59914.03089119782,256.0,4708.0,4580.0,4836.0,19209.969770000316,320.1661628333386,5.336102713888977,0.22233761307870736
315,stk,r117_59913_241,59913.873734628185,59914.01050567113,98.4375,1381.46484375,1332.24609375,1430.68359375,11817.018110048955,196.95030183414926,3.2825050305691543,0.13677104294038142
316,stk,r117_59914_242,59914.48959393687,59914.623664330225,98.4375,1381.46484375,1332.24609375,1430.68359375,11583.681986317972,193.06136643863286,3.217689440643881,0.13407039336016172
317,wb,p11723,59914.51278935184,59914.999849072585,64.0,332.0,300.0,364.0,40295.214320509695,671.5869053418282,11.19311508903047,0.4663797953762696
318,stk,r117_59914_243,59914.62372128992,59914.748035476514,98.4375,1381.46484375,1332.24609375,1430.68359375,10740.74572159443,179.0124286932405,2.983540478220675,0.12431418659252813
